x_um_centered_to_ellipse,y_um_centered_to_ellipse,delta_f_GHz
-7.211981566820071521e-01,-5.199251152073734517e+01,3.959115030935373980e-01
2.788018433179928479e-01,-5.199251152073734517e+01,3.966027351513665700e-01
-1.372119815668200715e+01,-5.099251152073734517e+01,3.955529538909816623e-01
-1.272119815668200715e+01,-5.099251152073734517e+01,3.950955569560243852e-01
-1.172119815668200715e+01,-5.099251152073734517e+01,3.936151718753322371e-01
-1.072119815668200715e+01,-5.099251152073734517e+01,3.930559084035394335e-01
-9.721198156682007152e+00,-5.099251152073734517e+01,3.932788857024740459e-01
-8.721198156682007152e+00,-5.099251152073734517e+01,3.929353782159017427e-01
-7.721198156682007152e+00,-5.099251152073734517e+01,3.927432757919584461e-01
-6.721198156682007152e+00,-5.099251152073734517e+01,3.929703176478933635e-01
-5.721198156682007152e+00,-5.099251152073734517e+01,3.949995392101466329e-01
-4.721198156682007152e+00,-5.099251152073734517e+01,3.954224473402008222e-01
-3.721198156682007152e+00,-5.099251152073734517e+01,3.955637175957393836e-01
-2.721198156682007152e+00,-5.099251152073734517e+01,3.957812953588941696e-01
-1.721198156682007152e+00,-5.099251152073734517e+01,3.959966528676037711e-01
-7.211981566820071521e-01,-5.099251152073734517e+01,3.963408928703202605e-01
2.788018433179928479e-01,-5.099251152073734517e+01,3.963006399005086777e-01
1.278801843317992848e+00,-5.099251152073734517e+01,3.965184657540050672e-01
2.278801843317992848e+00,-5.099251152073734517e+01,3.962329103820212417e-01
3.278801843317992848e+00,-5.099251152073734517e+01,3.964312673044352309e-01
4.278801843317992848e+00,-5.099251152073734517e+01,3.965253192003732607e-01
5.278801843317992848e+00,-5.099251152073734517e+01,3.962214204728491396e-01
6.278801843317992848e+00,-5.099251152073734517e+01,3.955392164278719314e-01
7.278801843317992848e+00,-5.099251152073734517e+01,3.957841868943998698e-01
8.278801843317992848e+00,-5.099251152073734517e+01,3.949594254889854383e-01
9.278801843317992848e+00,-5.099251152073734517e+01,3.949907584941634298e-01
1.027880184331799285e+01,-5.099251152073734517e+01,3.948343694239464519e-01
1.127880184331799285e+01,-5.099251152073734517e+01,3.953231804144516914e-01
1.227880184331799285e+01,-5.099251152073734517e+01,3.935440083836421188e-01
1.327880184331799285e+01,-5.099251152073734517e+01,3.934200609498939016e-01
